time,temperature,pressure,humidity
9.0,21.46,1015.00,69.4
9.1,22.23,1013.81,69.3
9.2,22.55,1014.19,72.0
9.3,22.03,1014.09,69.8
9.4,21.28,1014.25,70.3
9.5,21.13,1013.94,67.6
9.6,21.95,1013.74,71.1
9.7,21.74,1013.83,70.5
9.8,20.48,1014.55,70.4
9.9,20.24,1014.08,71.2
10.0,21.15,1014.05,70.2
10.1,20.81,1014.04,70.5
10.2,20.21,1014.32,67.5
10.3,20.45,1014.13,70.6
10.4,19.19,1014.10,71.0
10.5,20.91,1013.80,71.5
10.6,19.62,1014.23,70.2
10.7,18.92,1013.97,68.6
10.8,18.78,1013.94,71.9
10.9,18.93,1013.95,71.3
11.0,19.63,1013.85,70.7
11.1,19.28,1013.61,69.6
11.2,19.25,1013.84,68.7
11.3,18.59,1013.89,69.8
11.4,18.44,1013.76,67.5
11.5,18.29,1013.81,69.8
11.6,18.02,1013.97,69.3
11.7,18.19,1013.80,67.6
11.8,18.55,1013.56,68.5
11.9,18.23,1014.19,70.1
12.0,18.30,1013.69,70.0
12.1,18.06,1014.27,70.4
12.2,17.53,1013.76,70.5
12.3,17.53,1013.88,69.9
12.4,17.24,1013.44,70.6
12.5,17.16,1014.05,70.6
12.6,16.84,1013.26,69.4
12.7,17.17,1013.41,70.6
12.8,17.20,1013.73,70.4
12.9,17.93,1013.70,70.3
13.0,17.49,1013.48,69.6
13.1,17.40,1013.92,70.6
13.2,16.41,1013.19,70.2
13.3,16.61,1013.60,70.1
13.4,15.77,1013.24,69.7
13.5,16.16,1013.71,68.3
13.6,15.75,1013.62,69.1
13.7,15.50,1013.30,70.0
13.8,15.00,1013.13,69.7
13.9,15.94,1013.16,71.1
14.0,15.41,1013.22,70.8
14.1,15.93,1013.09,70.3
14.2,15.51,1013.26,68.7
14.3,15.20,1012.87,69.2
14.4,14.82,1013.61,70.2
14.5,15.30,1013.20,70.0
14.6,15.89,1012.80,70.0
14.7,15.92,1013.32,69.8
14.8,14.94,1012.79,71.9
14.9,15.55,1013.27,69.9
15.0,14.30,1012.73,70.1
15.1,15.43,1012.84,70.5
15.2,15.34,1013.34,70.4
15.3,14.71,1012.90,69.7
15.4,14.33,1012.83,70.3
15.5,14.96,1013.34,69.6
15.6,15.61,1013.28,69.8
15.7,15.36,1013.18,70.9
15.8,15.51,1012.85,68.6
15.9,15.07,1012.69,69.4
16.0,15.01,1012.77,70.0
16.1,15.58,1013.48,70.7
16.2,15.36,1012.41,69.6
16.3,15.67,1012.56,68.4
16.4,15.28,1012.89,70.0
16.5,16.56,1012.46,70.8
16.6,15.45,1013.17,70.5
16.7,14.36,1012.88,70.6
16.8,15.83,1013.52,70.0
16.9,15.79,1013.05,71.3
17.0,15.14,1012.62,71.5
17.1,16.12,1012.44,69.8
17.2,14.31,1012.56,68.6
17.3,16.13,1012.54,70.5
17.4,16.11,1012.34,69.7
17.5,15.80,1012.47,69.7
17.6,15.44,1012.72,68.6
17.7,15.80,1012.47,69.9
17.8,16.60,1013.10,70.3
17.9,16.98,1012.37,69.6
18.0,15.86,1012.55,70.7
18.1,15.95,1012.81,69.4
18.2,16.81,1012.60,68.9
18.3,16.12,1012.76,70.4
18.4,16.73,1012.26,68.8
18.5,16.29,1012.17,70.1
18.6,16.85,1012.41,68.9
18.7,16.99,1012.77,68.8
18.8,17.32,1012.51,68.9
18.9,15.71,1012.21,68.8
19.0,16.45,1012.07,68.9
19.1,17.23,1012.48,69.9
19.2,17.51,1012.28,68.9
19.3,17.23,1012.44,68.5
19.4,17.50,1012.04,69.2
19.5,18.14,1012.48,67.9
19.6,17.93,1012.23,70.1
19.7,19.10,1012.02,67.0
19.8,18.40,1012.15,69.0
19.9,17.90,1012.44,69.1
20.0,18.53,1012.60,68.6
20.1,18.05,1012.41,69.9
20.2,19.59,1012.28,70.2
20.3,18.61,1011.82,70.2
20.4,19.65,1012.06,68.6
20.5,19.54,1012.23,68.1
20.6,19.05,1011.49,69.0
20.7,19.80,1012.23,69.8
20.8,19.65,1011.67,68.4
20.9,19.80,1011.74,69.6
21.0,20.29,1012.35,68.7
21.1,20.35,1012.05,67.9
21.2,20.44,1012.14,68.6
21.3,20.40,1012.17,67.3
21.4,20.53,1012.01,70.4
21.5,19.35,1012.15,70.0
21.6,20.34,1012.16,68.2
21.7,20.83,1011.59,67.7
21.8,20.74,1012.47,70.4
21.9,21.02,1011.92,68.9
22.0,21.69,1012.16,68.7
22.1,21.79,1011.75,67.2
22.2,20.73,1011.94,69.0
22.3,22.07,1011.34,68.8
22.4,21.62,1011.74,68.1
22.5,21.69,1011.66,68.6
22.6,22.22,1011.98,68.2
22.7,22.26,1012.23,67.5
22.8,23.18,1011.36,67.5
22.9,21.63,1011.18,68.6
23.0,23.13,1011.78,67.1
23.1,22.23,1011.63,68.5
23.2,23.79,1011.69,70.5
23.3,23.17,1012.07,66.6
23.4,23.03,1011.56,67.2
23.5,23.59,1011.34,68.9
23.6,23.19,1011.25,68.3
23.7,22.74,1011.68,69.6
23.8,23.23,1011.72,68.6
23.9,24.17,1011.59,68.9
24.0,24.06,1011.76,67.5
24.1,23.56,1011.86,68.3
24.2,23.73,1011.87,68.7
24.3,25.09,1011.90,67.4
24.4,24.12,1010.91,66.9
24.5,24.08,1011.19,67.5
24.6,24.48,1011.14,67.9
24.7,24.51,1011.19,68.0
24.8,24.69,1011.65,68.3
24.9,24.92,1011.21,66.1
25.0,24.57,1011.51,68.0
25.1,25.15,1010.90,67.5
25.2,23.88,1011.57,67.7
25.3,25.24,1011.18,68.4
25.4,24.32,1011.30,67.0
25.5,23.56,1011.21,65.3
25.6,24.53,1011.59,67.2
25.7,24.37,1010.90,68.0
25.8,25.07,1011.12,68.2
25.9,24.35,1011.14,65.7
26.0,24.76,1011.64,66.9
26.1,25.05,1010.56,67.8
26.2,25.29,1011.23,67.6
26.3,24.72,1010.98,66.9
26.4,24.34,1010.97,66.9
26.5,24.65,1010.77,64.7
26.6,24.94,1011.35,69.5
26.7,25.70,1011.24,66.9
26.8,24.94,1010.76,67.9
26.9,24.13,1010.68,68.3
27.0,24.54,1011.44,67.8
27.1,25.24,1011.08,69.2
27.2,23.98,1010.82,66.5
27.3,25.45,1010.80,69.0
27.4,24.54,1011.32,67.4
27.5,24.18,1011.45,66.0
27.6,24.16,1010.94,67.5
27.7,24.27,1010.80,66.4
27.8,24.61,1010.82,66.9
27.9,24.41,1010.54,67.3
28.0,23.84,1011.11,66.8
28.1,24.36,1011.58,68.3
28.2,24.43,1011.22,66.0
28.3,24.28,1010.96,67.3
28.4,24.50,1011.08,67.8
28.5,23.44,1010.85,64.8
28.6,23.84,1011.25,65.7
28.7,23.57,1011.25,67.3
28.8,23.82,1010.89,64.5
28.9,23.14,1011.15,67.1
29.0,23.44,1011.05,66.2
29.1,23.23,1011.02,66.6
29.2,23.55,1010.93,67.1
29.3,22.53,1010.70,66.2
29.4,22.98,1011.12,66.0
29.5,22.67,1011.18,66.3
29.6,22.25,1011.05,66.0
29.7,22.90,1011.37,68.2
29.8,22.53,1011.17,65.0
29.9,21.92,1010.82,65.7
30.0,21.69,1011.36,67.2
30.1,22.00,1010.64,63.9
30.2,22.48,1010.76,66.1
30.3,22.31,1010.61,64.9
30.4,21.91,1011.32,65.1
30.5,21.18,1011.55,64.8
30.6,21.35,1010.95,66.7
30.7,21.84,1010.99,67.0
30.8,20.62,1011.25,64.6
30.9,20.21,1010.74,65.9
31.0,20.54,1010.48,66.3
31.1,20.64,1011.01,64.1
31.2,20.19,1010.89,65.5
31.3,19.20,1010.44,66.1
31.4,19.16,1011.01,63.6
31.5,20.26,1010.67,65.4
31.6,19.54,1011.00,63.2
31.7,19.09,1010.99,64.8
31.8,19.71,1010.92,64.7
31.9,18.09,1011.12,64.8
32.0,19.86,1011.22,66.4
32.1,19.34,1010.55,65.3
32.2,19.39,1010.98,65.6
32.3,18.84,1011.32,64.0
32.4,17.59,1011.17,65.8
32.5,18.02,1011.17,64.1
32.6,18.17,1011.09,65.3
32.7,17.94,1010.68,64.1
32.8,17.20,1010.76,63.8
32.9,17.39,1011.05,62.1
33.0,17.34,1010.21,63.9
33.1,18.02,1010.96,64.2
33.2,17.71,1011.36,63.6
33.3,17.75,1011.48,64.4
33.4,16.33,1011.02,62.5
33.5,17.88,1011.01,64.7
33.6,18.00,1011.09,63.8
33.7,15.86,1011.00,62.2
33.8,17.00,1010.94,65.3
33.9,16.99,1011.27,63.1
34.0,16.95,1011.55,64.2
34.1,16.21,1011.15,65.7
34.2,16.96,1010.84,64.3
34.3,14.70,1010.99,64.8
34.4,15.73,1011.53,64.5
34.5,15.24,1011.06,63.0
34.6,15.68,1010.83,62.7
34.7,15.77,1010.98,63.0
34.8,15.25,1011.59,62.5
34.9,15.15,1011.15,63.7
35.0,15.83,1011.15,63.1
35.1,15.41,1011.46,65.0
35.2,15.79,1011.47,64.2
35.3,15.15,1011.07,63.1
35.4,14.82,1010.66,63.5
35.5,15.36,1011.46,63.7
35.6,15.39,1011.23,64.0
35.7,13.73,1011.19,63.5
35.8,15.21,1011.47,63.5
35.9,14.37,1011.39,63.4
36.0,15.44,1010.92,62.3
36.1,14.73,1011.28,63.9
36.2,14.63,1011.27,64.8
36.3,14.86,1011.42,62.8
36.4,15.10,1011.65,60.9
36.5,13.96,1011.37,64.7
36.6,14.62,1010.96,63.8
36.7,15.69,1011.68,62.7
36.8,16.29,1011.60,62.4
36.9,14.73,1011.25,61.8
37.0,15.38,1010.96,63.5
37.1,14.88,1011.45,63.5
37.2,15.77,1011.16,62.4
37.3,15.36,1011.46,63.9
37.4,16.16,1011.65,61.5
37.5,14.82,1011.52,61.5
37.6,15.95,1011.51,62.9
37.7,14.33,1011.34,60.8
37.8,15.55,1011.28,61.6
37.9,16.01,1011.74,62.2
38.0,15.63,1011.47,62.4
38.1,15.05,1012.02,62.5
38.2,15.70,1010.67,63.1
38.3,15.21,1011.35,61.9
38.4,15.57,1011.89,61.7
38.5,15.64,1011.32,61.6
38.6,15.43,1011.67,62.1
38.7,15.31,1011.60,63.2
38.8,16.92,1011.78,60.8
38.9,15.46,1011.75,62.3
39.0,16.31,1011.71,61.8
39.1,15.08,1011.39,62.0
39.2,16.62,1011.50,60.0
39.3,17.19,1012.03,61.8
39.4,16.49,1011.56,63.1
39.5,16.45,1011.50,61.3
39.6,16.72,1011.60,61.4
39.7,16.29,1012.03,61.9
39.8,16.65,1011.90,60.5
39.9,17.44,1011.62,61.6
40.0,16.62,1012.26,63.0
40.1,17.50,1011.82,61.6
40.2,17.19,1011.91,61.6
40.3,17.79,1011.70,61.3
40.4,17.65,1011.79,60.9
40.5,17.82,1011.80,59.8
40.6,18.73,1012.01,61.4
40.7,18.04,1011.75,60.1
40.8,18.25,1011.49,61.2
40.9,18.11,1012.18,61.8
41.0,18.75,1012.21,60.1
41.1,19.02,1012.05,60.8
41.2,19.39,1011.62,60.9
41.3,19.36,1011.91,61.7
41.4,18.86,1011.67,60.4
41.5,19.27,1012.26,61.7
41.6,19.11,1012.60,59.7
41.7,19.54,1012.42,59.2
41.8,19.11,1011.48,61.3
41.9,19.52,1011.57,60.2
42.0,19.84,1012.84,60.0
42.1,20.67,1012.10,60.1
42.2,20.52,1011.87,61.2
42.3,20.74,1012.07,59.6
42.4,20.52,1012.18,60.1
42.5,20.91,1012.53,58.7
42.6,21.46,1012.05,59.6
42.7,20.13,1012.35,61.4
42.8,21.01,1012.05,59.0
42.9,21.79,1011.98,60.5
43.0,21.91,1011.70,59.4
43.1,21.72,1012.20,60.3
43.2,21.27,1012.24,60.0
43.3,22.34,1012.09,58.5
43.4,23.06,1012.18,60.0
43.5,22.03,1012.00,58.9
43.6,21.39,1012.06,60.0
43.7,22.20,1012.07,59.6
43.8,22.72,1011.97,60.0
43.9,22.99,1012.76,58.9
44.0,23.46,1012.11,60.8
44.1,23.67,1012.07,60.5
44.2,23.32,1012.73,59.1
44.3,23.08,1012.51,60.9
44.4,22.63,1012.66,58.8
44.5,23.80,1012.40,59.5
44.6,23.99,1012.74,59.9
44.7,23.44,1012.56,58.0
44.8,23.16,1012.07,60.5
44.9,23.37,1012.83,59.0
45.0,23.92,1013.10,60.1
45.1,24.17,1012.54,56.9
45.2,24.85,1012.75,58.7
45.3,24.84,1012.58,59.6
45.4,24.78,1012.85,56.9
45.5,24.49,1012.10,57.9
45.6,24.54,1012.55,58.8
45.7,25.24,1012.23,59.5
45.8,24.26,1013.45,57.9
45.9,24.30,1012.72,61.7
46.0,25.13,1012.79,59.3
46.1,25.16,1012.40,59.6
46.2,24.66,1012.86,59.4
46.3,24.55,1012.73,58.0
46.4,24.63,1012.22,57.6
46.5,25.11,1013.02,57.0
46.6,25.13,1013.04,59.3
46.7,25.49,1013.14,57.7
46.8,24.70,1013.11,57.1
46.9,25.26,1012.96,58.5
47.0,24.68,1013.19,58.3
47.1,25.04,1013.33,56.2
47.2,24.75,1012.71,57.8
47.3,24.50,1013.36,55.6
47.4,25.15,1013.74,56.6
47.5,25.52,1013.01,56.8
47.6,24.15,1012.45,58.0
47.7,24.89,1012.83,57.9
47.8,25.40,1013.15,58.8
47.9,24.78,1013.37,57.4
48.0,24.65,1013.03,58.2
48.1,24.58,1013.26,57.6
48.2,24.94,1013.24,56.2
48.3,25.04,1013.27,57.8
48.4,23.70,1013.35,57.0
48.5,24.69,1013.08,57.5
48.6,24.56,1012.59,57.7
48.7,25.34,1013.33,57.7
48.8,25.38,1013.22,56.6
48.9,24.88,1013.37,58.8
49.0,24.48,1013.63,56.5
49.1,24.09,1013.30,58.3
49.2,23.37,1013.53,54.5
49.3,24.75,1013.53,55.1
49.4,24.33,1013.67,56.6
49.5,24.74,1013.49,56.2
49.6,23.17,1013.38,57.0
49.7,24.04,1013.72,57.8
49.8,22.78,1013.78,56.9
49.9,23.34,1013.88,57.6
